BeneficiaryID,Name,Age,Gender,City,Program,Year,Month,Income_Group,Donation_Received,Volunteers,Outcome
72,Beneficiary_72,44,Female,Lucknow,Health,2022,Mar,Below Poverty Line,6582,5,Successful
73,Beneficiary_73,8,Female,Varanasi,Education,2024,Mar,Middle Income,1134,4,Needs Follow-up
74,Beneficiary_74,6,Male,Agra,Health,2024,Apr,Middle Income,2425,18,Needs Follow-up
75,Beneficiary_75,10,Male,Kanpur,Health,2023,Dec,Below Poverty Line,2556,19,Successful
76,Beneficiary_76,58,Male,Varanasi,Clothing,2024,Feb,Middle Income,7417,4,Successful
77,Beneficiary_77,46,Female,Varanasi,Health,2022,Feb,Low Income,3644,7,Successful
78,Beneficiary_78,8,Male,Kanpur,Health,2024,Jan,Below Poverty Line,1052,10,Ongoing
79,Beneficiary_79,58,Female,Agra,Food Distribution,2023,May,Middle Income,9407,18,Needs Follow-up
80,Beneficiary_80,33,Female,Ghaziabad,Clothing,2021,Apr,Below Poverty Line,5883,19,Ongoing
81,Beneficiary_81,22,Male,Varanasi,Clothing,2022,Nov,Low Income,4411,4,Needs Follow-up
82,Beneficiary_82,30,Male,Kanpur,Clothing,2021,Oct,Low Income,3889,10,Needs Follow-up
83,Beneficiary_83,48,Female,Lucknow,Clothing,2023,Feb,Middle Income,9799,1,Needs Follow-up
84,Beneficiary_84,38,Male,Kanpur,Clothing,2023,Mar,Low Income,8942,18,Needs Follow-up
85,Beneficiary_85,14,Female,Lucknow,Clothing,2023,Jul,Below Poverty Line,2930,5,Needs Follow-up
86,Beneficiary_86,40,Female,Agra,Education,2021,Jul,Low Income,958,15,Needs Follow-up
87,Beneficiary_87,18,Female,Ghaziabad,Health,2021,Dec,Below Poverty Line,707,17,Needs Follow-up
88,Beneficiary_88,35,Female,Kanpur,Clothing,2021,Apr,Below Poverty Line,1399,3,Ongoing
89,Beneficiary_89,52,Female,Varanasi,Health,2021,May,Low Income,521,12,Successful
90,Beneficiary_90,19,Male,Agra,Health,2023,May,Middle Income,9101,2,Successful
91,Beneficiary_91,12,Male,Kanpur,Education,2023,Jun,Low Income,1394,1,Ongoing
92,Beneficiary_92,18,Female,Varanasi,Clothing,2022,Sep,Below Poverty Line,1014,17,Ongoing
93,Beneficiary_93,27,Female,Kanpur,Food Distribution,2022,Feb,Below Poverty Line,7794,16,Ongoing
94,Beneficiary_94,44,Male,Lucknow,Education,2021,May,Low Income,5404,5,Ongoing
95,Beneficiary_95,25,Male,Kanpur,Food Distribution,2024,Dec,Middle Income,8367,15,Needs Follow-up
96,Beneficiary_96,20,Female,Kanpur,Health,2024,Mar,Middle Income,4609,3,Successful
97,Beneficiary_97,49,Male,Kanpur,Health,2023,Apr,Below Poverty Line,7679,7,Needs Follow-up
98,Beneficiary_98,22,Female,Agra,Education,2023,Oct,Below Poverty Line,2060,11,Successful
99,Beneficiary_99,51,Male,Kanpur,Education,2023,Jun,Middle Income,1766,10,Successful
100,Beneficiary_100,57,Female,Varanasi,Food Distribution,2022,Dec,Low Income,4138,9,Ongoing
101,Beneficiary_101,28,Male,Lucknow,Clothing,2022,Aug,Below Poverty Line,9441,14,Needs Follow-up
102,Beneficiary_102,30,Female,Lucknow,Food Distribution,2023,Jan,Below Poverty Line,3927,13,Ongoing
103,Beneficiary_103,29,Male,Kanpur,Education,2023,Oct,Middle Income,5280,2,Needs Follow-up
104,Beneficiary_104,49,Male,Agra,Food Distribution,2023,Aug,Low Income,2427,3,Successful
105,Beneficiary_105,45,Female,Agra,Education,2024,Nov,Middle Income,2856,7,Ongoing
106,Beneficiary_106,33,Male,Varanasi,Food Distribution,2022,Jul,Low Income,5290,18,Ongoing
107,Beneficiary_107,19,Female,Kanpur,Education,2024,Jan,Low Income,806,3,Successful
108,Beneficiary_108,49,Male,Lucknow,Education,2024,Feb,Low Income,8479,10,Successful
109,Beneficiary_109,5,Female,Agra,Education,2023,Mar,Below Poverty Line,4165,7,Successful
110,Beneficiary_110,29,Male,Kanpur,Clothing,2023,Jan,Middle Income,7557,9,Ongoing
111,Beneficiary_111,11,Female,Agra,Food Distribution,2021,Sep,Middle Income,1161,17,Needs Follow-up
112,Beneficiary_112,13,Male,Agra,Food Distribution,2021,Aug,Low Income,5144,11,Ongoing
113,Beneficiary_113,28,Female,Lucknow,Food Distribution,2024,Feb,Below Poverty Line,9003,7,Needs Follow-up
114,Beneficiary_114,5,Male,Ghaziabad,Education,2022,Sep,Below Poverty Line,3420,14,Ongoing
115,Beneficiary_115,48,Female,Varanasi,Food Distribution,2023,Jul,Middle Income,9774,19,Ongoing
116,Beneficiary_116,12,Female,Varanasi,Food Distribution,2023,Sep,Below Poverty Line,9446,4,Successful
117,Beneficiary_117,28,Female,Lucknow,Education,2024,Jun,Below Poverty Line,6736,6,Needs Follow-up
118,Beneficiary_118,15,Male,Agra,Health,2021,Jun,Low Income,6578,10,Ongoing
119,Beneficiary_119,55,Female,Kanpur,Education,2022,Nov,Below Poverty Line,852,7,Ongoing
120,Beneficiary_120,21,Male,Agra,Food Distribution,2021,Apr,Low Income,9594,13,Successful
121,Beneficiary_121,12,Female,Lucknow,Education,2021,Oct,Middle Income,7505,14,Successful
122,Beneficiary_122,39,Male,Varanasi,Health,2021,Oct,Below Poverty Line,658,4,Needs Follow-up
123,Beneficiary_123,39,Female,Agra,Education,2021,Feb,Middle Income,1456,8,Ongoing
124,Beneficiary_124,37,Male,Varanasi,Food Distribution,2023,Jul,Middle Income,2571,5,Needs Follow-up
125,Beneficiary_125,9,Male,Kanpur,Health,2023,May,Below Poverty Line,9095,1,Ongoing
126,Beneficiary_126,46,Female,Varanasi,Clothing,2021,Nov,Below Poverty Line,3953,4,Needs Follow-up
127,Beneficiary_127,43,Male,Varanasi,Food Distribution,2022,Jun,Middle Income,7175,3,Successful
128,Beneficiary_128,45,Male,Ghaziabad,Health,2024,Feb,Below Poverty Line,1455,9,Ongoing
129,Beneficiary_129,32,Female,Ghaziabad,Health,2022,May,Low Income,6795,8,Needs Follow-up
130,Beneficiary_130,11,Male,Ghaziabad,Clothing,2022,Oct,Low Income,2212,1,Successful
131,Beneficiary_131,13,Male,Varanasi,Education,2022,Apr,Below Poverty Line,5203,6,Successful
132,Beneficiary_132,12,Male,Lucknow,Education,2021,Sep,Middle Income,7063,9,Needs Follow-up
133,Beneficiary_133,16,Female,Varanasi,Food Distribution,2023,Jun,Below Poverty Line,9965,7,Ongoing
134,Beneficiary_134,38,Male,Lucknow,Clothing,2022,Feb,Below Poverty Line,6131,4,Ongoing
135,Beneficiary_135,37,Female,Lucknow,Education,2021,Jan,Middle Income,1894,13,Successful
136,Beneficiary_136,52,Male,Ghaziabad,Clothing,2022,May,Middle Income,9961,17,Ongoing
137,Beneficiary_137,59,Male,Agra,Education,2022,Sep,Low Income,5232,2,Ongoing
138,Beneficiary_138,27,Male,Kanpur,Health,2021,Jun,Middle Income,4214,5,Ongoing
139,Beneficiary_139,28,Female,Ghaziabad,Education,2023,Oct,Low Income,1029,12,Successful
140,Beneficiary_140,41,Male,Ghaziabad,Clothing,2023,Dec,Middle Income,3458,8,Needs Follow-up
141,Beneficiary_141,39,Male,Agra,Health,2024,Jul,Below Poverty Line,8404,6,Ongoing
142,Beneficiary_142,48,Female,Kanpur,Health,2021,May,Low Income,4091,8,Successful
143,Beneficiary_143,44,Male,Varanasi,Health,2024,Oct,Low Income,7395,18,Successful
144,Beneficiary_144,26,Female,Varanasi,Clothing,2024,Jun,Low Income,9631,3,Needs Follow-up
145,Beneficiary_145,31,Female,Ghaziabad,Food Distribution,2024,May,Below Poverty Line,1025,12,Ongoing
146,Beneficiary_146,39,Male,Kanpur,Food Distribution,2023,Nov,Below Poverty Line,6977,3,Ongoing
147,Beneficiary_147,5,Female,Ghaziabad,Food Distribution,2021,Sep,Below Poverty Line,501,6,Needs Follow-up
148,Beneficiary_148,39,Male,Lucknow,Clothing,2024,Jun,Below Poverty Line,874,2,Needs Follow-up
149,Beneficiary_149,41,Female,Ghaziabad,Health,2021,Nov,Below Poverty Line,5148,12,Successful
150,Beneficiary_150,51,Female,Ghaziabad,Food Distribution,2021,Aug,Low Income,2865,2,Successful
151,Beneficiary_151,18,Male,Varanasi,Clothing,2023,Feb,Below Poverty Line,2025,6,Needs Follow-up
152,Beneficiary_152,7,Female,Varanasi,Food Distribution,2024,Dec,Low Income,2146,17,Ongoing
153,Beneficiary_153,5,Female,Varanasi,Education,2024,Sep,Below Poverty Line,513,3,Successful
154,Beneficiary_154,9,Female,Lucknow,Food Distribution,2021,May,Middle Income,5099,2,Successful
155,Beneficiary_155,30,Female,Varanasi,Food Distribution,2022,Jul,Low Income,2778,8,Ongoing
156,Beneficiary_156,59,Female,Kanpur,Health,2023,Oct,Middle Income,3655,12,Successful
157,Beneficiary_157,18,Male,Agra,Clothing,2023,Jan,Low Income,8821,4,Ongoing
158,Beneficiary_158,43,Female,Kanpur,Health,2023,Oct,Middle Income,4314,5,Ongoing
159,Beneficiary_159,31,Male,Kanpur,Health,2023,May,Below Poverty Line,3716,13,Ongoing
160,Beneficiary_160,13,Female,Varanasi,Health,2024,Dec,Below Poverty Line,8719,15,Needs Follow-up
161,Beneficiary_161,19,Male,Agra,Health,2024,Oct,Below Poverty Line,2613,16,Needs Follow-up
162,Beneficiary_162,19,Male,Agra,Health,2022,Feb,Low Income,9944,10,Needs Follow-up
163,Beneficiary_163,30,Female,Agra,Food Distribution,2023,Dec,Middle Income,4856,16,Ongoing
164,Beneficiary_164,46,Female,Lucknow,Health,2023,Jun,Below Poverty Line,6043,12,Ongoing
165,Beneficiary_165,17,Female,Varanasi,Health,2021,Nov,Middle Income,5055,17,Needs Follow-up
166,Beneficiary_166,55,Male,Agra,Clothing,2024,Jan,Middle Income,7562,16,Successful
167,Beneficiary_167,36,Female,Lucknow,Education,2023,Mar,Below Poverty Line,3874,12,Ongoing
168,Beneficiary_168,43,Male,Ghaziabad,Food Distribution,2022,May,Below Poverty Line,6930,8,Successful
169,Beneficiary_169,53,Male,Ghaziabad,Food Distribution,2022,Apr,Middle Income,3966,3,Successful
170,Beneficiary_170,56,Male,Lucknow,Food Distribution,2024,Mar,Below Poverty Line,3581,16,Ongoing
171,Beneficiary_171,36,Female,Lucknow,Health,2022,Oct,Below Poverty Line,1129,13,Ongoing
172,Beneficiary_172,8,Female,Varanasi,Health,2022,May,Below Poverty Line,769,19,Successful
173,Beneficiary_173,34,Male,Varanasi,Health,2024,Nov,Low Income,6224,8,Successful
174,Beneficiary_174,41,Male,Ghaziabad,Clothing,2023,Aug,Middle Income,6397,5,Needs Follow-up
175,Beneficiary_175,27,Female,Agra,Education,2023,Nov,Middle Income,3932,8,Needs Follow-up
176,Beneficiary_176,43,Male,Ghaziabad,Health,2022,Apr,Low Income,9972,12,Ongoing
177,Beneficiary_177,49,Female,Agra,Education,2022,Jan,Middle Income,6776,1,Needs Follow-up
178,Beneficiary_178,19,Male,Agra,Clothing,2023,Nov,Below Poverty Line,6395,6,Needs Follow-up
179,Beneficiary_179,47,Female,Varanasi,Food Distribution,2024,Jul,Middle Income,7615,18,Needs Follow-up
180,Beneficiary_180,33,Male,Kanpur,Health,2022,Aug,Below Poverty Line,7156,8,Needs Follow-up
181,Beneficiary_181,40,Female,Kanpur,Education,2021,Mar,Low Income,1075,7,Successful
182,Beneficiary_182,17,Male,Lucknow,Education,2024,Jun,Below Poverty Line,7529,1,Ongoing
183,Beneficiary_183,36,Female,Varanasi,Health,2022,Feb,Middle Income,6599,16,Needs Follow-up
184,Beneficiary_184,11,Female,Agra,Food Distribution,2022,Jul,Middle Income,9999,12,Successful
185,Beneficiary_185,55,Male,Kanpur,Food Distribution,2021,Aug,Middle Income,3692,6,Successful
186,Beneficiary_186,26,Male,Agra,Food Distribution,2021,Jun,Low Income,3678,2,Successful
187,Beneficiary_187,32,Female,Kanpur,Clothing,2023,Jun,Low Income,6552,14,Needs Follow-up
188,Beneficiary_188,6,Male,Kanpur,Education,2024,May,Middle Income,3234,4,Needs Follow-up
189,Beneficiary_189,46,Female,Kanpur,Education,2024,Aug,Below Poverty Line,6616,1,Ongoing
190,Beneficiary_190,49,Male,Varanasi,Education,2023,Jan,Low Income,4068,18,Needs Follow-up
191,Beneficiary_191,57,Female,Ghaziabad,Clothing,2024,Oct,Middle Income,2703,13,Needs Follow-up
192,Beneficiary_192,10,Female,Agra,Education,2024,Apr,Middle Income,1890,2,Successful
193,Beneficiary_193,32,Female,Varanasi,Clothing,2024,Apr,Low Income,2242,9,Ongoing
194,Beneficiary_194,32,Female,Varanasi,Food Distribution,2024,Mar,Low Income,2425,2,Needs Follow-up
195,Beneficiary_195,48,Female,Varanasi,Health,2024,Mar,Low Income,1119,9,Needs Follow-up
196,Beneficiary_196,48,Female,Varanasi,Education,2021,Apr,Below Poverty Line,1774,1,Successful
197,Beneficiary_197,24,Male,Varanasi,Education,2024,Nov,Below Poverty Line,1456,11,Successful
198,Beneficiary_198,34,Male,Lucknow,Food Distribution,2021,Jan,Middle Income,2439,3,Needs Follow-up
199,Beneficiary_199,15,Male,Agra,Health,2024,Nov,Low Income,4453,4,Ongoing
200,Beneficiary_200,59,Female,Varanasi,Clothing,2023,Nov,Below Poverty Line,1468,18,Ongoing
201,Beneficiary_201,32,Female,Agra,Health,2022,Feb,Low Income,9735,6,Successful
202,Beneficiary_202,29,Female,Lucknow,Food Distribution,2021,Sep,Middle Income,781,3,Successful
203,Beneficiary_203,43,Female,Lucknow,Food Distribution,2024,Oct,Below Poverty Line,6762,11,Needs Follow-up
204,Beneficiary_204,37,Male,Agra,Health,2023,Feb,Below Poverty Line,1558,15,Successful
205,Beneficiary_205,5,Male,Kanpur,Clothing,2022,May,Below Poverty Line,4793,5,Needs Follow-up
206,Beneficiary_206,31,Female,Ghaziabad,Clothing,2021,Sep,Middle Income,5678,10,Ongoing
207,Beneficiary_207,56,Male,Kanpur,Education,2022,Sep,Low Income,7480,12,Ongoing
208,Beneficiary_208,17,Male,Kanpur,Clothing,2023,Aug,Below Poverty Line,9700,15,Needs Follow-up
209,Beneficiary_209,45,Female,Kanpur,Health,2021,Jan,Middle Income,1729,17,Successful
210,Beneficiary_210,7,Male,Varanasi,Food Distribution,2022,Jan,Low Income,9727,10,Ongoing
211,Beneficiary_211,43,Female,Lucknow,Education,2024,Sep,Middle Income,5085,6,Successful
212,Beneficiary_212,10,Male,Kanpur,Education,2021,Nov,Low Income,8967,18,Ongoing
213,Beneficiary_213,12,Female,Lucknow,Food Distribution,2022,Aug,Middle Income,3240,13,Needs Follow-up
214,Beneficiary_214,31,Female,Agra,Clothing,2023,Oct,Low Income,2789,3,Needs Follow-up
215,Beneficiary_215,13,Female,Ghaziabad,Food Distribution,2023,Sep,Below Poverty Line,1739,10,Needs Follow-up
216,Beneficiary_216,41,Female,Agra,Clothing,2021,Jul,Low Income,5870,14,Ongoing
217,Beneficiary_217,37,Male,Agra,Food Distribution,2022,Mar,Middle Income,625,6,Successful
218,Beneficiary_218,55,Female,Varanasi,Health,2021,Mar,Middle Income,7973,3,Successful
219,Beneficiary_219,46,Female,Ghaziabad,Clothing,2021,Feb,Low Income,9900,16,Successful
220,Beneficiary_220,48,Female,Agra,Health,2022,May,Below Poverty Line,5842,7,Ongoing
221,Beneficiary_221,28,Male,Agra,Education,2022,Dec,Below Poverty Line,7851,14,Ongoing
222,Beneficiary_222,19,Female,Ghaziabad,Food Distribution,2024,Dec,Low Income,7138,9,Ongoing
223,Beneficiary_223,58,Male,Ghaziabad,Education,2022,Mar,Low Income,7070,15,Ongoing
224,Beneficiary_224,36,Female,Agra,Education,2023,Jun,Middle Income,3749,3,Ongoing
225,Beneficiary_225,36,Male,Ghaziabad,Education,2021,Feb,Below Poverty Line,9610,2,Successful
226,Beneficiary_226,28,Male,Agra,Education,2021,Dec,Low Income,8095,2,Ongoing
227,Beneficiary_227,45,Female,Agra,Food Distribution,2023,Mar,Below Poverty Line,6794,3,Ongoing
228,Beneficiary_228,56,Male,Varanasi,Education,2022,May,Low Income,7027,18,Successful
229,Beneficiary_229,53,Female,Kanpur,Food Distribution,2023,Dec,Low Income,6257,14,Ongoing
230,Beneficiary_230,53,Female,Agra,Food Distribution,2023,Nov,Below Poverty Line,2469,18,Successful
231,Beneficiary_231,56,Female,Lucknow,Health,2024,Nov,Low Income,1391,10,Successful
232,Beneficiary_232,16,Male,Kanpur,Clothing,2023,Jan,Low Income,4970,2,Needs Follow-up
233,Beneficiary_233,43,Male,Kanpur,Clothing,2021,Jan,Middle Income,7675,1,Needs Follow-up
234,Beneficiary_234,6,Female,Kanpur,Food Distribution,2023,Oct,Low Income,8820,4,Needs Follow-up
235,Beneficiary_235,7,Female,Varanasi,Health,2021,Sep,Low Income,9706,14,Needs Follow-up
236,Beneficiary_236,53,Male,Agra,Food Distribution,2021,Jul,Low Income,7312,1,Ongoing
237,Beneficiary_237,41,Female,Varanasi,Food Distribution,2021,Jan,Middle Income,8019,14,Needs Follow-up
238,Beneficiary_238,53,Female,Agra,Food Distribution,2022,Dec,Below Poverty Line,5112,16,Successful
239,Beneficiary_239,21,Female,Varanasi,Health,2024,Aug,Middle Income,1698,14,Ongoing
240,Beneficiary_240,53,Male,Varanasi,Clothing,2021,Mar,Middle Income,5738,3,Needs Follow-up
241,Beneficiary_241,6,Male,Lucknow,Health,2021,Aug,Below Poverty Line,6589,3,Successful
242,Beneficiary_242,6,Male,Varanasi,Education,2022,May,Middle Income,6757,9,Ongoing
243,Beneficiary_243,32,Female,Ghaziabad,Health,2021,Jan,Below Poverty Line,8205,6,Ongoing
244,Beneficiary_244,58,Female,Lucknow,Health,2023,Jul,Middle Income,4219,13,Needs Follow-up
245,Beneficiary_245,27,Female,Varanasi,Health,2023,May,Below Poverty Line,802,2,Ongoing
246,Beneficiary_246,41,Male,Kanpur,Health,2024,Jun,Low Income,1486,8,Successful
247,Beneficiary_247,36,Female,Ghaziabad,Clothing,2021,Jun,Middle Income,4940,2,Ongoing
248,Beneficiary_248,37,Female,Ghaziabad,Education,2022,Aug,Middle Income,5409,4,Successful
249,Beneficiary_249,5,Female,Ghaziabad,Clothing,2023,Sep,Middle Income,3572,15,Ongoing
250,Beneficiary_250,23,Female,Lucknow,Clothing,2022,Feb,Middle Income,3624,4,Needs Follow-up
251,Beneficiary_251,6,Male,Varanasi,Health,2022,Sep,Low Income,8625,13,Successful
252,Beneficiary_252,57,Male,Varanasi,Food Distribution,2023,Dec,Middle Income,3791,12,Ongoing
253,Beneficiary_253,48,Female,Kanpur,Food Distribution,2022,Nov,Low Income,4533,13,Ongoing
254,Beneficiary_254,30,Male,Kanpur,Clothing,2023,Oct,Low Income,5605,14,Ongoing
255,Beneficiary_255,36,Male,Ghaziabad,Clothing,2022,Sep,Low Income,1203,18,Successful
256,Beneficiary_256,10,Female,Kanpur,Health,2023,Oct,Low Income,8633,6,Successful
257,Beneficiary_257,36,Female,Lucknow,Clothing,2021,Oct,Below Poverty Line,1074,11,Successful
258,Beneficiary_258,59,Male,Varanasi,Health,2024,Jul,Below Poverty Line,6204,2,Needs Follow-up
259,Beneficiary_259,8,Female,Ghaziabad,Food Distribution,2023,Jan,Middle Income,8348,19,Needs Follow-up
260,Beneficiary_260,59,Male,Kanpur,Food Distribution,2023,Jul,Below Poverty Line,5708,19,Successful
261,Beneficiary_261,15,Female,Lucknow,Education,2024,Oct,Below Poverty Line,7424,5,Ongoing
262,Beneficiary_262,21,Male,Lucknow,Food Distribution,2023,May,Middle Income,4328,19,Needs Follow-up
263,Beneficiary_263,42,Female,Kanpur,Clothing,2023,Jun,Middle Income,3730,2,Successful
264,Beneficiary_264,28,Male,Varanasi,Food Distribution,2022,Oct,Middle Income,988,10,Ongoing
265,Beneficiary_265,9,Male,Kanpur,Health,2024,Jul,Below Poverty Line,7614,2,Needs Follow-up
266,Beneficiary_266,56,Male,Ghaziabad,Food Distribution,2021,May,Below Poverty Line,3673,11,Ongoing
267,Beneficiary_267,38,Female,Kanpur,Education,2023,Jul,Middle Income,2167,18,Ongoing
268,Beneficiary_268,10,Male,Lucknow,Food Distribution,2024,Sep,Low Income,4614,15,Ongoing
269,Beneficiary_269,26,Male,Kanpur,Health,2022,Mar,Middle Income,4053,9,Ongoing
270,Beneficiary_270,15,Female,Varanasi,Health,2021,Aug,Low Income,8261,19,Needs Follow-up
271,Beneficiary_271,52,Female,Agra,Clothing,2024,Feb,Low Income,1500,9,Needs Follow-up
